Galaxy,c_DM14,rms,chi2,chi2_red,bic,n_points,is_dwarf,is_mw_like,is_bulge_dom,is_bulgeless,max_bulge_frac
D631-7,10.854402812925978,18.569442661203755,1420.3594860644266,88.77246787902666,1420.3594860644266,16,True,False,False,True,0.0
DDO064,11.618252892219466,8.944954269229651,48.217287764627024,3.4440919831876444,48.217287764627024,14,True,False,False,True,0.0
DDO154,11.550387511020237,12.966301182826825,1805.0523280416928,150.42102733680773,1805.0523280416928,12,True,False,False,True,0.0
DDO161,10.406953324251521,24.479913191914026,6264.057825634097,202.06638147206763,6264.057825634097,31,True,False,False,True,0.0
DDO168,11.112127221805526,12.492452679858774,727.1897410378452,72.71897410378452,727.1897410378452,10,True,False,False,True,0.0
DDO170,10.726607189732464,19.893848941848503,2005.460812470925,250.68260155886563,2005.460812470925,8,True,False,False,True,0.0
ESO079-G014,7.755354905874081,23.158412318757716,517.8018531788086,34.52012354525391,517.8018531788086,15,False,True,False,True,0.0
ESO116-G012,8.949140086325075,9.643810803015914,177.6104423567335,11.840696157115566,177.6104423567335,15,False,False,False,True,0.0
ESO563-G021,6.492639867790987,28.509576332444862,627.3421414664051,20.911404715546837,627.3421414664051,30,False,False,False,True,0.0
F568-V1,8.871093153208465,9.262149429162646,5.873089498781461,0.39153929991876407,5.873089498781461,15,False,False,False,True,0.0
F571-8,8.303241982033672,26.61955362971935,425.6872230916917,32.74517100705321,425.6872230916917,13,False,False,False,True,0.0
F571-V1,9.700937437426411,22.328794774314503,66.6339675453942,9.5191382207706,66.6339675453942,7,False,False,False,True,0.0
F574-1,9.250592130813033,15.250756905817065,160.01032462902285,11.42930890207306,160.01032462902285,14,False,False,False,True,0.0
F583-1,9.62488518713319,21.81706521726215,456.4355862728798,18.25742345091519,456.4355862728798,25,True,False,False,True,0.0
IC2574,10.402201873528927,29.225798024309395,12492.907549195275,367.4384573292728,12492.907549195275,34,True,False,False,True,0.0
IC4202,7.0245788940688,35.399959083297354,1656.4701443426443,51.764692010707634,1656.4701443426443,32,False,True,True,False,0.9823511937853552
KK98-251,12.775277599313734,14.12217471801656,747.8843203731979,49.85895469154652,747.8843203731979,15,True,False,False,True,0.0
NGC0024,9.019918774597095,13.430042464204648,118.1078624977592,4.072684913715834,118.1078624977592,29,False,False,False,True,0.0
NGC0055,9.631693525236871,24.87223356845893,2295.887878823913,109.32799422971014,2295.887878823913,21,False,False,False,True,0.0
NGC0100,9.54804606446356,17.452259311968508,317.2040396316417,15.104954268173415,317.2040396316417,21,False,False,False,True,0.0
NGC0247,9.056225604370743,22.761316316044855,2797.7291376229077,107.6049668316503,2797.7291376229077,26,False,False,False,True,0.0
NGC0289,7.924089310164538,29.22546734528603,628.3557319879624,22.441276142427228,628.3557319879624,28,False,True,False,True,0.0
NGC0300,9.383569344622252,14.67712197491014,376.9241329116835,15.07696531646734,376.9241329116835,25,False,False,False,True,0.0
NGC0801,7.234830036305998,47.096947197776885,2137.1647598128784,164.39728921637527,2137.1647598128784,13,False,False,False,True,0.0
NGC0891,7.275147644413983,41.1142840786073,1865.0058020886138,103.61143344936744,1865.0058020886138,18,False,True,True,False,0.8601282479658282
NGC1003,8.931814539423147,26.075621507227375,4792.516534055248,133.12545927931242,4792.516534055248,36,False,False,False,True,0.0
NGC1090,7.903581871919196,32.16844005866544,3429.336213030886,142.8890088762869,3429.336213030886,24,False,True,False,True,0.0
NGC2403,8.462686520970664,12.871611360445772,4029.180706224148,55.19425624964586,4029.180706224148,73,False,False,False,True,0.0
NGC2683,8.06164050114025,25.134990840798324,64.19151065461118,5.835591877691925,64.19151065461118,11,False,True,True,False,0.2121899390471468
NGC2841,6.691393812134707,36.081646309628525,2259.258178417887,45.18516356835774,2259.258178417887,50,False,True,True,False,0.7504759624271637
NGC2903,7.630869065117219,31.331395888727563,2199.421974201797,64.68888159417051,2199.421974201797,34,False,True,False,True,0.0
NGC2915,9.704456189614609,11.678023160120551,66.5367175940371,2.2178905864679033,66.5367175940371,30,True,False,False,True,0.0
NGC2976,9.638522622208402,8.690299234610428,226.17495774481154,8.376850286844872,226.17495774481154,27,False,False,False,True,0.0
NGC2998,7.339600759675811,35.72264890382278,1823.394807654939,140.26113905037994,1823.394807654939,13,False,True,False,True,0.0
NGC3109,10.411714122231903,16.763655617732763,2111.5181891774814,84.46072756709925,2111.5181891774814,25,True,False,False,True,0.0
NGC3198,8.124541400870696,24.90302913248154,5139.593382448418,119.52542749880043,5139.593382448418,43,False,True,False,True,0.0
NGC3521,7.2998079696161415,11.5874162207319,56.36021135883587,1.374639301435021,56.36021135883587,41,False,True,False,True,0.0
NGC3726,7.851877103714573,41.19462522389955,684.4107012961568,57.03422510801307,684.4107012961568,12,False,True,False,True,0.0
NGC3741,11.328994733352475,13.932501564921438,802.0262555404115,38.19172645430531,802.0262555404115,21,True,False,False,True,0.0
NGC3769,8.72558482968193,24.483880061029662,151.27091279146762,12.605909399288969,151.27091279146762,12,False,False,False,True,0.0
NGC3877,7.846221306028436,28.5991382556643,287.7960317910201,22.13815629161693,287.7960317910201,13,False,True,False,True,0.0
NGC3893,7.768832959210207,17.495719498813468,29.75427566979001,2.9754275669790013,29.75427566979001,10,False,True,False,True,0.0
NGC3917,8.372915541371476,19.039106702629095,371.12509449662815,21.83088791156636,371.12509449662815,17,False,True,False,True,0.0
NGC3949,7.924089310164538,15.229930022892946,36.64963390621299,5.235661986601856,36.64963390621299,7,False,True,False,True,0.0
NGC3953,7.227872582084743,22.675132403529574,89.0645197627558,11.133064970344474,89.0645197627558,8,False,True,False,True,0.0
NGC3972,8.433586743374164,11.83196084987422,62.70608995980605,6.270608995980605,62.70608995980605,10,False,False,False,True,0.0
NGC3992,7.038677093191327,31.47976059687542,208.72067338538227,23.191185931709143,208.72067338538227,9,False,False,False,True,0.0
NGC4010,8.57114755301817,22.454897774971705,205.8362792347019,17.153023269558492,205.8362792347019,12,False,False,False,True,0.0
NGC4013,7.78377588312471,31.89310242497821,1360.0950045916672,37.78041679421298,1360.0950045916672,36,False,True,True,False,0.319161575792811
NGC4051,8.014650917312945,30.933577440139178,128.8634360590028,18.409062294143258,128.8634360590028,7,False,True,False,True,0.0
NGC4085,8.456831991697728,25.417548205374665,125.25225452603573,17.893179218005105,125.25225452603573,7,False,True,False,True,0.0
NGC4088,7.8002191837856945,47.66176502761482,587.6041308980033,48.96701090816694,587.6041308980033,12,False,True,False,True,0.0
NGC4100,7.996181487724177,16.62687113070307,131.19499880702614,5.466458283626089,131.19499880702614,24,False,True,False,True,0.0
NGC4138,8.171029407868145,20.29012222372834,17.984080493274547,2.569154356182078,17.984080493274547,7,False,False,True,False,0.3331901700525024
NGC4157,7.629616986217627,37.68243257287346,420.4678951065705,24.73340559450415,420.4678951065705,17,False,True,True,False,0.2918294965393529
NGC4183,8.912189295404914,20.766590865770688,337.34382526287004,14.66712283751609,337.34382526287004,23,False,False,False,True,0.0
NGC4217,7.672690343793749,59.427323899169934,1365.2068797066288,71.85299366876994,1365.2068797066288,19,False,True,True,False,0.9843602996273886
NGC4559,8.668439292154588,27.192579776750392,1021.9720814686558,31.936627545895494,1021.9720814686558,32,False,False,False,True,0.0
NGC5005,6.86114348311783,20.291635992068485,28.787552024944983,1.5993084458302769,28.787552024944983,18,False,True,True,False,0.848673966640449
NGC5033,7.514545016829692,27.577113301072124,1360.9109319935615,61.85958781788916,1360.9109319935615,22,False,True,True,False,0.921939696358538
NGC5055,7.702429597949613,37.68810851442896,15078.240670039817,538.5085953585649,15078.240670039817,28,False,True,False,True,0.0
NGC5371,7.343844045322988,50.111551821738445,4239.754359814253,223.14496630601332,4239.754359814253,19,False,False,False,True,0.0
NGC5585,9.476954979283056,16.76436830731805,2339.1938124824983,97.46640885343743,2339.1938124824983,24,False,False,False,True,0.0
NGC5907,7.286405763915225,38.1236322908727,4449.626816394829,234.19088507341203,4449.626816394829,19,False,True,False,True,0.0
NGC5985,6.629978534420015,34.46489589378957,1061.8256248170164,32.17653408536413,1061.8256248170164,33,False,False,True,False,0.5513965676474702
NGC6015,8.060055017888692,19.708129531224262,1468.7883833502701,33.3815541670516,1468.7883833502701,44,False,True,False,True,0.0
NGC6195,6.94663678144126,52.399086164289635,1578.8354602363695,68.64502001027694,1578.8354602363695,23,False,False,True,False,0.9652275768822268
NGC6503,8.777514433420473,19.51286706388866,5723.768633873196,184.63769786687732,5723.768633873196,31,False,False,False,True,0.0
NGC6674,7.036024407070185,38.569655704952474,4027.5760672696574,268.5050711513105,4027.5760672696574,15,False,False,True,False,0.7322717546349606
NGC6946,7.985491743501658,26.17289100792268,3276.0288026805306,56.483255218629836,3276.0288026805306,58,False,True,True,False,0.992215072630338
NGC7331,7.0564723128438285,47.76768431302693,5426.524020293245,150.736778341479,5426.524020293245,36,False,False,True,False,0.205505708819728
NGC7814,7.246824436025199,14.003390389093699,146.12740285019362,8.11818904723298,146.12740285019362,18,False,False,True,False,0.9906411803882766
UGC00128,8.500174722473645,26.941826777036724,9975.388082029478,453.42673100133993,9975.388082029478,22,False,False,False,True,0.0
UGC00731,10.095217995818455,16.203625621415238,404.04443155786146,33.67036929648845,404.04443155786146,12,True,False,False,True,0.0
UGC01281,11.001063342386539,14.715884611310317,268.18720801933216,10.727488320773286,268.18720801933216,25,True,False,False,True,0.0
UGC02259,9.611330343299072,7.195387227285143,105.92309417192845,13.240386771491057,105.92309417192845,8,True,False,False,True,0.0
UGC02487,6.387594914798841,38.63799161594997,2365.72109881704,139.16006463629648,2365.72109881704,17,False,False,True,False,0.4787624597128548
UGC02885,6.658289737916284,46.30543577366489,407.3967426159108,21.441933821890043,407.3967426159108,19,False,False,True,False,0.9207044102983484
UGC02916,7.654827809951978,33.05858288348206,4721.205419883363,109.79547488100845,4721.205419883363,43,False,False,True,False,0.9935340855595668
UGC02953,6.839878267921426,29.30282230466678,8277.652235091806,71.97958465297222,8277.652235091806,115,False,False,True,False,0.9839462414112006
UGC03205,7.239817322940871,23.15343527798305,3733.7008478995695,77.78543433124104,3733.7008478995695,48,False,False,True,False,0.9838251720090528
UGC03546,7.483172453051079,39.42489878674498,4018.055988082909,133.93519960276365,4018.055988082909,30,False,False,True,False,0.9686729810220835
UGC03580,8.562906882456593,32.852365634383354,9988.470718643692,212.52065358816364,9988.470718643692,47,False,False,True,False,0.9620678777292996
UGC04278,9.442250295283843,19.76585116247771,490.9498794532969,19.637995178131874,490.9498794532969,25,False,False,False,True,0.0
UGC04325,9.457957305554654,6.814469541811135,39.81022230132697,4.976277787665871,39.81022230132697,8,False,False,False,True,0.0
UGC04499,10.116176497684997,16.410951220125874,282.97083251898727,31.441203613220807,282.97083251898727,9,True,False,False,True,0.0
UGC05005,9.21929537540611,33.864943748738135,130.9785094516011,11.907137222872826,130.9785094516011,11,False,False,False,True,0.0
UGC05253,7.2998079696161415,21.776141308913395,1530.5486910882476,20.966420425866406,1530.5486910882476,73,False,False,True,False,0.9974684769679932
UGC05716,10.103578977978126,15.794172899030327,2507.1126625691113,208.9260552140926,2507.1126625691113,12,True,False,False,True,0.0
UGC05721,9.842384667528684,9.694963359811608,90.49784724672757,3.934689010727286,90.49784724672757,23,False,False,False,True,0.0
UGC05986,8.854406116449065,8.849180440094532,101.62330237157664,6.774886824771776,101.62330237157664,15,False,False,False,True,0.0
UGC06399,9.652243542157644,13.350866924149456,61.82555512757047,6.869506125285607,61.82555512757047,9,False,False,False,True,0.0
UGC06446,9.750705622563077,11.055009666381748,80.4830545359091,4.7342973256417125,80.4830545359091,17,False,False,False,True,0.0
UGC06614,7.450094374265218,50.488687553332255,317.3775435987232,24.413657199901785,317.3775435987232,13,False,False,True,False,0.9828654057003524
UGC06667,9.693916358287199,10.13431351129257,79.70599005184134,8.85622111687126,79.70599005184134,9,False,False,False,True,0.0
UGC06786,7.241816382297771,15.202206698825119,521.7734791646278,11.594966203658396,521.7734791646278,45,False,False,True,False,0.9966046098303882
UGC06787,6.9770252750815684,18.20888318615205,3088.9140933212298,43.50583230029901,3088.9140933212298,71,False,False,True,False,0.998664037682178
UGC06818,10.18452474641095,22.41256118953931,176.78630769067578,22.098288461334473,176.78630769067578,8,True,False,False,True,0.0
UGC06917,8.959105566533363,14.515502275945888,142.9776597631327,12.9979690693757,142.9776597631327,11,False,False,False,True,0.0
UGC06923,9.84612956427941,13.191838795980951,33.58317337445805,5.5971955624096745,33.58317337445805,6,False,False,False,True,0.0
UGC06930,8.996906060014616,20.791889431028206,111.17873987218049,11.117873987218049,111.17873987218049,10,False,False,False,True,0.0
UGC06983,8.951626988098912,16.07104187657926,115.40434318774514,6.788490775749715,115.40434318774514,17,False,False,False,True,0.0
UGC07125,10.459843443605475,25.301469496259383,1393.5400073430383,107.19538518023371,1393.5400073430383,13,False,False,False,True,0.0
UGC07151,10.086886686343174,10.140349248878788,159.30105820584046,14.481914382349133,159.30105820584046,11,False,False,False,True,0.0
UGC07261,10.037511676328327,9.835509996710808,21.137759188770854,3.019679884110122,21.137759188770854,7,True,False,False,True,0.0
UGC07399,9.106521698727946,7.016626022000754,69.2225161704521,6.92225161704521,69.2225161704521,10,True,False,False,True,0.0
UGC07524,9.849880596204214,18.672284228103173,1011.2135979985183,32.619793483823166,1011.2135979985183,31,False,False,False,True,0.0
UGC07603,10.641411806450886,4.709226581005528,31.86285843021375,2.6552382025178125,31.86285843021375,12,False,False,False,True,0.0
UGC07690,10.871560885573672,7.993017693465467,24.074930848583087,3.4392758355118693,24.074930848583087,7,True,False,False,True,0.0
UGC08286,9.743528519786476,7.633352658491082,221.70226128256564,13.041309487209745,221.70226128256564,17,False,False,False,True,0.0
UGC08490,9.88391892588948,9.712109187908537,207.82396914944235,6.927465638314745,207.82396914944235,30,True,False,False,True,0.0
UGC08550,10.900418926252984,8.167475939443754,175.5565803101947,15.95968911910861,175.5565803101947,11,False,False,False,True,0.0
UGC08699,7.658640449089931,16.114573459192492,287.7886155075327,7.019234524573968,287.7886155075327,41,False,False,True,False,0.980448697417964
UGC09037,8.08880070304398,45.90512614743692,1518.782199030388,69.03555450138127,1518.782199030388,22,False,True,False,True,0.0
UGC09133,7.169392573133152,32.51986363661443,16300.262509206594,239.7097427824499,16300.262509206594,68,False,False,True,False,0.9855764709828724
UGC09992,12.786786233070128,11.072916237537395,19.136441022412455,3.827288204482491,19.136441022412455,5,True,False,False,True,0.0
UGC10310,10.175872286418425,13.344577680826179,48.68628920765945,6.955184172522778,48.68628920765945,7,True,False,False,True,0.0
UGC11455,6.805056504685011,39.2830533982734,1351.9914201792678,37.55531722720188,1351.9914201792678,36,False,False,False,True,0.0
UGC11914,6.668076882608957,21.902740532011716,1367.9134061501138,21.044821633078673,1367.9134061501138,65,False,False,True,False,0.9724360634892316
UGC12506,7.1018222958836725,31.471909758735897,153.5909427380634,4.954546539937529,153.5909427380634,31,False,True,False,True,0.0
UGC12632,10.162952638301618,16.480689066595513,395.9356835698804,26.395712237992026,395.9356835698804,15,True,False,False,True,0.0
UGCA442,10.929609294958285,12.83970732493462,451.1704815428857,56.39631019286071,451.1704815428857,8,True,False,False,True,0.0
UGCA444,12.418727095023048,9.787471101898939,288.2733189392155,8.007592192755986,288.2733189392155,36,True,False,False,True,0.0
